Name of Firm,unknown,unknown,"Address, line 1","Address, line 2",City,State,Zip,Capabilities Narrative,E-mail Address,CAGE Code,Congr. Dist.,County Code,UEI,E-Mall Page URL,Fax Number,Fiscal Year Ends,In TECH-Net?,Incorp. Country,Incorp. State,Last Updated,Main/Branch,Metro Stat Area,Phone Number,Trade Name,WWW Page URL,Year Established,Legal Structure,"Business Type (Service, Construction, etc)","Ownership/Self-Certs (Minority, Veteran, Woman, etc)","NAICS, All (for which firm is small)","NAICS, Buy Green and Small","NAICS, Primary and Small",FullAddress,ZipOnly
"BLP ENGINEERS, INC.",BORIS PASTUSHENKO,,1315 CAMINITO BALADA,,LA JOLLA,CA,92037-7184,,blp.eng.inc@gmail.com,6BZN0,50,073,CLN4ZML8BK78,,,1231,,USA,CA,08/24/2024,Branch,7320,760-458-1016,BLP ENGINEERS INC,,2010,SC,,"Self-Certified Small Disadvantaged Business, Woman Owned",541620,,,"1315 CAMINITO BALADA, , LA JOLLA, CA 92037-7184",92037
XENDEE CORPORATION,ADIB NASLE,,7855 FAY AVENUE,SUITE 100,LA JOLLA,CA,92037-4279,"XENDEE provides commercial and custom software for project management information systems, microgrid planning, optimization, simulation and analysis software, microgrid planning engineering services, power distribution design validation and analysis services",anasle@xendee.com,6J9J9,50,073,C7EHZ3LJKS27,,,1231,,USA,DE,10/18/2024,Branch,7320,858-205-5055,,https://www.xendee.com,2018,CP,Service,,"513210, 541511, 541690",,,"7855 FAY AVENUE, SUITE 100, LA JOLLA, CA 92037-4279",92037
"VIRIDOS, INC.",DOUG MILLER,,11149 N TORREY PINES RD STE 100,,LA JOLLA,CA,92037-1009,,dmiller@viridos.com,5CCQ9,50,073,LSFQNHT81NN1,,858-754-2988,1231,,USA,DE,09/12/2024,Branch,7320,619-302-4650,,,2005,CP,,,541714,,,"11149 N TORREY PINES RD STE 100, , LA JOLLA, CA 92037-1009",92037
SOFT-DECK INC,DELILAH RIVERA,,1244 CAVE ST,,LA JOLLA,CA,92037-3601,"HPEAFS is an anti-skid, shock absorbing, vibration dampening flooring system with significant noise attenuation in a light weight, durable, closed cell technology, providing added comfort and safety to boat crews.",delilah@soft-deck.com,6NYR7,50,073,K2GDMD6LCGU8,HTTP://WWW.SOFT-DECK.COM,858-750-2903,1231,,USA,DE,08/27/2024,Branch,7320,858-395-1983,,http://www.soft-deck.com,2011,CP,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Veteran","326150, 326299, 327999, 336360, 336390, 336992, 336999, 423110",,,"1244 CAVE ST, , LA JOLLA, CA 92037-3601",92037
"NPD ASSOCIATES, INC",JAMES REED,,4275 EXECUTIVE SQ STE 200,,LA JOLLA,CA,92037-1476,Architectural and engineering design services; professional staff placement,jim@npdainc.com,6UUG1,50,073,VMLCDR95UG77,http://www.npdainc.com,,1231,,USA,CA,04/12/2024,Branch,7320,858-344-8900,,www.npdainc.com,2001,SC,Service,"Service-Disabled Veteran, Veteran","236220, 541310, 541330, 541330, 541330, 541330, 541340, 541350, 541611, 541990",,,"4275 EXECUTIVE SQ STE 200, , LA JOLLA, CA 92037-1476",92037
SEAMGEN LLC,MARC SEAMGEN,,6933 LA JOLLA BLVD.,,LA JOLLA,CA,92037-5427,"Seamgen designs and develops best-in-class web and mobile applications for clients from growing startups to the largest enterprises. We are an industry-leading digital product agency on the forefront of technology—our team specializes in full-stack development and we are experts in user experience design, web applications (React and Angular), mobile applications (iOS and Android), as well as building highly scalable cloud service architectures using Amazon AWS and Microsoft Azure, and Google Cloud When a client partners with us we get to know their business and their customers, and intimately craft custom software solutions that provide cutting edge experiences and produce value for your customers and your business.",govops@seamgen.com,6V9K1,50,073,N7NGKMMQ4GJ9,,,1231,,USA,CA,10/23/2024,Branch,7320,858-735-6272,,www.seamgen.com,2008,LL,,,"541511, 541512, 541513, 541519, 541519, 541612",,,"6933 LA JOLLA BLVD., , LA JOLLA, CA 92037-5427",92037
POSITRACTION,LYNNE ARCIERO,,7533 DRAPER AVE,UNIT 1,LA JOLLA,CA,92037-4802,"Positraction is an integrated, full-service marketing and communications company.",lynne@positraction.com,740D5,50,073,JJLWJDMTH3Y9,https://positraction.com/,,1231,,USA,CA,10/16/2024,Branch,7320,619-550-8481,,https://www.positraction.com,2012,SC,Service,"Self-Certified Small Disadvantaged Business, Woman Owned","541613, 541618, 541810, 541850, 541860, 541870, 541890, 711320",,,"7533 DRAPER AVE, UNIT 1, LA JOLLA, CA 92037-4802",92037
MAXIMBRANDS CORPORATION,AMIT ROY,,8246 CAMINITO MODENA,,LA JOLLA,CA,92037-2921,,aroy@maximinstruments.com,6VZU7,50,073,T273R7T7A8G6,,858-223-6230,1231,,USA,CA,11/22/2024,Branch,7320,858-223-6210,MAXIMBRANDS CORP,www.maximinstruments.com,2012,SC,,"Other Minority Owned, Self-Certified Small Disadvantaged Business, Subcontinent Asian American, Woman Owned","334515, 423830, 532420, 532490",,,"8246 CAMINITO MODENA, , LA JOLLA, CA 92037-2921",92037
MERTEL CATERINA,TINA MERTEL,,1250 CAVE ST UNIT 8,,LA JOLLA,CA,92037-3605,"Meaningful Coaching provides executive coaching, consulting, training, and facilitation in the areas of communication skills, conflict management, influence, presentation skills, influence, and work/life balance. Assessments commonly used include: Strength Deployment Inventory (SDI), and Myers Briggs Type Indicator (MBTI), DISC, Emotional Intelligence 360, Hogan, & OPM 360.  Sample results: Greater leadership and influence of others, Learning effective ways to manage people through change, Improved conflict prevention and management, Learning ways to build trust with others, Heightened emotional intelligence, Gaining tools to develop collaborative relationships, Greater confidence when speaking in public, Creating connection and rapport with others, Releasing anxiety and fears of public speaking, Developing leadership presence, Providing greater clarity of content, Developing their own authentic charisma, Accelerated results, Clarity with choices to be made, and Work/life balance.",tina@meaningfulcoaching.com,7DAR7,50,073,JW69BGFSHF91,https://www.meaningfulcoaching.com,,1231,,USA,CA,12/18/2024,Branch,7320,760-889-2256,TINA MERTEL,,2006,SL,Service,Woman Owned,"541611, 541612, 541618, 611430, 611699, 711510, 812990",,,"1250 CAVE ST UNIT 8, , LA JOLLA, CA 92037-3605",92037
"PERSISTENCE DATA MINING, INC.",PENELOPE NAGEL,,9404 GENESEE AVE,SUITE 340,LA JOLLA,CA,92037-1356,"Persistence Data Mining is developing a non-intrusive remote survey system for large tracks of open farmland. Our cutting-edge soil mapping technology will serve the precision agricultural industry by improving fertilizer application and efficiency. Our technology will help farmers increase crop yields, optimize input costs, and improve environmental protection.  Persistence Data Mining sourced the best intellect, hardware and software available to solve a very specific agricultural need. Farmers need more precise, real-time, soil nutrient information mapped over very large stretches of farmland to improve fertilizer efficiency. We believe our clients will pay a premium price for a proactive solution that impacts costs and production. We also know there is a lack of companies with the expertise required for innovating, integrating and delivering this proprietary data service.",pennynag@aol.com,7DUA9,50,073,ZKAEX5FUZY68,http://www.persistencedatamining.com,,1231,,USA,NV,09/26/2024,Branch,7320,858-342-3753,,http://persistencedata.com,2012,CP,"R and D, Service","Hispanic American, Self-Certified Small Disadvantaged Business, Woman Owned","333241, 541330, 541330, 541330, 541330, 541360, 541380, 541715, 541715, 541715, 541715",,,"9404 GENESEE AVE, SUITE 340, LA JOLLA, CA 92037-1356",92037
SYNTROGI INC.,SEAN MULLEN,,7590 FAY AVE STE 404,,LA JOLLA,CA,92037-4872,,sean.mullen@intheon.io,738J8,50,073,WEHJPS2X96Q1,,,1231,,USA,DE,05/14/2024,Branch,7320,424-297-6857,INTHEON,https://intheon.io,2011,CP,,,"518210, 541714, 541715, 541715, 541715, 541715",,,"7590 FAY AVE STE 404, , LA JOLLA, CA 92037-4872",92037
LUNDBERG VICKI MARIE,VICKI LUNDBERG,,3316 CAMINITO VASTO,,LA JOLLA,CA,92037-2929,"Certified Spanish medical interpreter. Federal Security clearance which also allows me to interpret for: EOIR, IRS, SSA, USCIS, ICE, IHSC, CBP and similar agencies.",vilundberg303@gmail.com,7SSB3,50,073,YLCFGVEE1JK3,,,1231,,USA,CA,10/16/2024,Branch,7320,858-276-1016,LUNDBERG INTERPRETING,,2020,SL,Service,"Self-Certified Small Disadvantaged Business, Woman Owned",541930,,,"3316 CAMINITO VASTO, , LA JOLLA, CA 92037-2929",92037
VIVANTECH INC,TURGUT GERBOGA,,4225 EXECUTIVE SQ,STE 600,LA JOLLA,CA,92037-1484,,tgerboga@vivantech.com,7W9T6,50,073,PD54MFQ55MC3,,,1231,,USA,CA,07/25/2024,Branch,7320,619-298-4824,STREAMLYNE,www.streamlyne.com,2003,CP,,,"513210, 541511",,,"4225 EXECUTIVE SQ, STE 600, LA JOLLA, CA 92037-1484",92037
PROTEA AERO DRIVE LLC,HOWARD SCHACHAT,,3262 HOLIDAY CT,STE 100,LA JOLLA,CA,92037-1811,,hschachat@proteaproperties.com,7XQ80,50,073,QNPLGHHK2TN3,,858-457-5689,1231,,USA,CA,03/07/2025,Branch,7320,858-457-5593,,,2017,LL,,,"531312, 531390",,,"3262 HOLIDAY CT, STE 100, LA JOLLA, CA 92037-1811",92037
SUPERLANET INC,SHARON ZAMMIT,,5353 CHELSEA ST,,LA JOLLA,CA,92037-7913,,sharon@superlanet.com,7ZHR5,50,073,Y6M8XC491F59,,,1231,,USA,CA,10/03/2024,Branch,7320,858-213-7057,,www.superlanet.com,2017,CP,,"Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned","541512, 561311",,,"5353 CHELSEA ST, , LA JOLLA, CA 92037-7913",92037
"HERITAGE PUBLISHING & COMMUNICATIONS, LTD.",SEAN SCOTT,,9603 LA JOLLA FARMS RD,,LA JOLLA,CA,92037-1132,,sean@theredguidetorecovery.com,80HB6,50,073,HEDXGKS8DEE6,,,1231,,USA,CA,05/14/2024,Branch,7320,858-453-6767,HERITAGE PUBLISHING & COMMUNICATIONS LTD,www.TheRedGuideToRecovery.com,2010,SC,,,513130,,,"9603 LA JOLLA FARMS RD, , LA JOLLA, CA 92037-1132",92037
MAXENTRIC TECHNOLOGIES LLC,HOUMAN GHAJARI,,7590 FAY AVE,STE 301,LA JOLLA,CA,92037-4874,,houman@maxentric.com,82VY1,50,073,ZL9NF33GKUN3,,,1231,,USA,DE,04/24/2024,Branch,7320,858-272-8800,,www.maxentric.com,2003,LL,,,"334220, 541330, 541330, 541330, 541330, 541715, 541715, 541715, 541715",,,"7590 FAY AVE, STE 301, LA JOLLA, CA 92037-4874",92037
RONIN SURGICAL CORP,CLIFTON LEARN,,6420 AVENIDA WILFREDO,,LA JOLLA,CA,92037-6235,,cliff.learn@roninsurgical.com,82W03,50,073,LKWLK121FNN3,https://www.roninsurgical.com/,,1231,,USA,CA,01/04/2025,Branch,7320,858-997-8085,,www.roninsurgical.com,2013,SC,,,339112,,,"6420 AVENIDA WILFREDO, , LA JOLLA, CA 92037-6235",92037
TIGER CONSTRUCTION LLC,MOHSEN AHMED JR,,8342 VIA SONOMA UNIT C,,LA JOLLA,CA,92037-2810,,mahmed@geauxtigerconstruction.com,83JH6,50,073,HGX4JC65RNH4,,,0220,,USA,CA,06/20/2024,Branch,7320,619-587-3867,,geauxtc.com/,2018,LL,,"Black American, Other Minority Owned, Self-Certified Small Disadvantaged Business","238990, 238990",,,"8342 VIA SONOMA UNIT C, , LA JOLLA, CA 92037-2810",92037
"BRILLIANTMD, LLC",SARAH BROWN,,7172 EADS AVE,,LA JOLLA,CA,92037-5454,,sarah@brilliant.md,84FZ0,50,073,LSKPL8LYFCY5,,,1231,,USA,DE,12/17/2024,Branch,7320,214-697-0454,,brilliant.md,2017,,,,561110,,,"7172 EADS AVE, , LA JOLLA, CA 92037-5454",92037
INNOVAPRO CORPORATION,RYAN MANGAHAS,,1521 NAUTILUS ST,,LA JOLLA,CA,92037-5638,,ryan@sandpiperca.com,87W95,50,073,YBDDWR1X89G5,,,1231,,USA,CA,11/21/2024,Branch,7320,619-424-2222,INNOVAPRO CORP,,1999,CP,,Asian Pacific American,811430,,,"1521 NAUTILUS ST, , LA JOLLA, CA 92037-5638",92037
FUTURNA PHARMACEUTICALS LLC,MAURIZIO ZANETTI,,5673 DOLPHIN PL,,LA JOLLA,CA,92037-7518,Biotechnology Research and Development with particular emphasis in cellular level immunological treatments for cancer,mzanetti@ucsd.edu,89B08,50,073,M4FXJLJMKSK1,,,1231,,USA,CA,08/22/2024,Branch,7320,858-405-3956,FUTURNA PHARMACEUTICALS LLC,,2018,LL,R and D,Self-Certified Small Disadvantaged Business,541714,,,"5673 DOLPHIN PL, , LA JOLLA, CA 92037-7518",92037
"HIGGINS CAPITAL MANAGEMENT, INC.",RAYMOND HIGGINS,,2223 AVENIDA DE LA PLAYA STE. 210,,LA JOLLA,CA,92037-3218,"Higgins Capital Management, Inc. is a minority woman owned small business. The company has been in business since 1996. The principals have worked together since 1984. The company's core competency is contract management support. The Company provides planning monitoring and control of organizational resources Specialties include financial management, financial controls, cash-flow analysis, data analysis, budget management, process and program design-management. The Company has a flawless track record for exceeding expectations on work performed for corporations, state, county, city and special district governments.",raymond.higgins@higginscapital.com,8ARW2,50,073,HC51ZMKNKB81,https://www.higginsccapital.com,858-459-7451,1231,,USA,CA,04/04/2024,Branch,7320,858-459-2993,,www.higginscapital.com,1996,CP,Service,"Native American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned","523940, 523999, 524298, 541611, 541618, 561110",,,"2223 AVENIDA DE LA PLAYA STE. 210, , LA JOLLA, CA 92037-3218",92037
"DUGAN TECHNOLOGIES, INC.",TOM DUGAN,,2425 ELLENTOWN RD,,LA JOLLA,CA,92037-1108,,tom@sensorpros.com,8B4M3,50,073,MBHPU7EQ15B9,,,1231,,USA,CA,05/14/2024,Branch,7320,877-610-5110,SENSORPROS,,1988,SC,,,"334519, 423830",,,"2425 ELLENTOWN RD, , LA JOLLA, CA 92037-1108",92037
UNMANNED AEROSPACE LLC,GAD SHAANAN,,7453 FAIRWAY RD,,LA JOLLA,CA,92037-5629,,gad@unmanned-aerospace.com,94MB9,50,073,JJY4PG3KYE76,,,1231,,USA,CA,10/19/2024,Branch,7320,858-204-9718,,,2019,CP,,Self-Certified Small Disadvantaged Business,"541715, 541715, 541715, 541715",,,"7453 FAIRWAY RD, , LA JOLLA, CA 92037-5629",92037
VALIS PHARMA INC,ARNOLD HAGLER,,545 BONAIR WAY,,LA JOLLA,CA,92037-6118,,athagler@gmail.com,8HJ90,50,073,CX8GAQGVTNK1,,,1231,,USA,DE,02/05/2025,Branch,7320,619-379-9768,VALIS PHARMA INC,,2017,CP,,,541714,,,"545 BONAIR WAY, , LA JOLLA, CA 92037-6118",92037
EASY DAY SOLUTIONS LLC,BRIAN HINER,,2838 CAMINITO TURNBERRY,,LA JOLLA,CA,92037-5832,,ed.hiner@edhiner.com,8JSF8,50,073,FPCHDMZ9TX54,http://edhiner.com,,1231,,USA,CA,01/23/2025,Branch,7320,858-401-0779,,www.edhiner.com,2014,LL,,"Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","541611, 541613, 561499, 611430, 611710, 624110",,,"2838 CAMINITO TURNBERRY, , LA JOLLA, CA 92037-5832",92037
WITH REASON LLC,AUSTIN MARTIN,,6505 CAMINITO BALTUSRAL,,LA JOLLA,CA,92037-5803,,austin@rhymeswithreason.com,8LKL5,50,073,QFVWRBWEBVM4,,,1231,,USA,CA,12/14/2024,Branch,7320,858-472-7209,,www.rhymeswithreason.com,2015,LL,,"Black American, Other Minority Owned, Self-Certified Small Disadvantaged Business",611710,,,"6505 CAMINITO BALTUSRAL, , LA JOLLA, CA 92037-5803",92037
FOUR STAR SOFTWARE INC,MARK FREEDMAN,,7855 IVANHOE AVE STE 300,,LA JOLLA,CA,92037-4509,,mark@fusionmedia.com,8QRA0,50,073,JNA1M1UVGKY8,,,1231,,USA,CA,11/27/2024,Branch,7320,858-354-5182,,,1992,SC,,,"518210, 541511, 541512, 561499, 611420",,,"7855 IVANHOE AVE STE 300, , LA JOLLA, CA 92037-4509",92037
"COMPLIANCEMETRIX, INC.",JAMES GUNN-WILKINSON,,4180 LA JOLLA VILLAGE DR,STE 570,LA JOLLA,CA,92037-9144,"The CMX1 Platform enables companies of all sizes to gain control and transparency over their supply chains, deliver quality products and services, and ensure compliance and drive performance across their locations. Ultimately, the vision for the business and the results come down to you. You are responsible for growth, profit, and your brand’s valuation. All of which can be severely impacted when you lack transparency in your supply chain, experience a product recall, or have operational issues in your locations. In order to make the best decisions and deliver on your objectives, you need a sense of what’s happening at every level of the business. With the CMX1 Platform, you’ll have all the insights you need to steer the ship with confidence. Have complete trust in the quality of reporting, and rest easy knowing your team has the tools needed to manage your supply chain, products, and locations effectively as you scale the business.",james.gunn@cmx1.com,8NSE4,50,073,R6KHNJVFQZK1,https://www.cmx1.com,,0131,,USA,DE,01/17/2025,Branch,7320,858-224-0890,COMPLAINCEMETRIX,www.cmx1.com,2010,CP,,,541511,,,"4180 LA JOLLA VILLAGE DR, STE 570, LA JOLLA, CA 92037-9144",92037
DVELE INC,BRANDON WEISS,,5521 LA JOLLA BLVD,,LA JOLLA,CA,92037-7612,,brandon@dvele.com,8MYW6,50,073,KQG6U4N94HN7,,,1231,,USA,DE,08/09/2024,Branch,7320,630-485-1818,,dvele.com,2016,CP,,Self-Certified Small Disadvantaged Business,339999,,,"5521 LA JOLLA BLVD, , LA JOLLA, CA 92037-7612",92037
FREMON SCIENTIFIC INC,LINDA FABIAN,,5726 LA JOLLA BLVD,UNIT 304,LA JOLLA,CA,92037-7345,,linda@fremonscientific.com,8SMG7,50,073,KVN2C44U3KJ3,,,1231,,USA,DE,11/12/2024,Branch,7320,480-868-9399,FREMON SCIENTIFIC INC,,2013,CP,,"Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","621111, 621491, 621492, 621493, 621511, 621991, 621999, 622110",,,"5726 LA JOLLA BLVD, UNIT 304, LA JOLLA, CA 92037-7345",92037
"OSYPKA MEDICAL, INC.",MARKUS OSYPKA,,1252 VIA BARRANCA,,LA JOLLA,CA,92037-6251,,mail@cardiotronic.net,8T5B2,50,073,KM9KULLYB957,https://www.osypkamed.com/,858-454-0640,1231,,USA,CA,11/06/2024,Branch,7320,858-405-0385,OSYPKA MEDICAL INC,www.osypkamed.com,2000,CP,,Self-Certified Small Disadvantaged Business,"334510, 339112",,,"1252 VIA BARRANCA, , LA JOLLA, CA 92037-6251",92037
MOXIE INSTITUTE INC.,KRISTINA CHESTNUT,,7911 HERSCHEL AVE,SUITE 400,LA JOLLA,CA,92037-4412,"Moxie Institute is an international public speaking and presentation skills agency. Their relentless passion and dedication to helping business leaders and their teams make an impact with their message and speak with confidence, along with their unique background in the performing arts and neuroscience, make them one of the most premier and sought-after presentation companies on the planet.",gregg@moxieinstitute.com,8THJ5,50,073,VL4JZZMTR3U5,https://www.MoxieInstitute.com,,1231,,USA,CA,08/15/2024,Branch,7320,858-771-6827,,www.moxieinstitute.com,2017,SC,Service,"Self-Certified Small Disadvantaged Business, Woman Owned","512110, 512191, 541430, 541618, 561410, 611430, 611699, 711510",,,"7911 HERSCHEL AVE, SUITE 400, LA JOLLA, CA 92037-4412",92037
DISCOVERY HEALTH SERVICES,JEFFREY STERNBERG,,5726 LA JOLLA BLVD STE 103,,LA JOLLA,CA,92037-7342,,jsternberg@discoveryhealthofca.com,8ZT08,50,073,KMCQGU8M49V6,,,1231,,USA,CA,05/29/2024,Branch,7320,858-459-0785,,www.discoveryhealthus.com,2011,CP,,"Hispanic American, Native American, Other Minority Owned, Self-Certified Small Disadvantaged Business","561330, 621111, 621511, 621610, 621999",,,"5726 LA JOLLA BLVD STE 103, , LA JOLLA, CA 92037-7342",92037
DANKS CONSULTING LLC,DAVID DANKS,,619 BONAIR WAY,,LA JOLLA,CA,92037-6120,,david@danks.org,8ZA07,50,073,U4DNCBW24W85,,,1231,,USA,CA,06/15/2024,Branch,7320,412-496-8445,,,2020,LL,,,541690,,,"619 BONAIR WAY, , LA JOLLA, CA 92037-6120",92037
"EVENTS.COM, INC",MITCHELL THROWER,,811 PROSPECT ST,,LA JOLLA,CA,92037-4207,,mitch@events.com,91U14,50,073,XKVLFG61KR64,,,1231,,USA,CA,07/10/2024,Branch,7320,858-257-2300,,,2009,CP,,,"513210, 518210, 519290, 541490, 541511, 541513, 541618, 541810, 541820, 541830, 541850, 541870, 541890, 561599, 711310, 711320, 711410, 713990",,,"811 PROSPECT ST, , LA JOLLA, CA 92037-4207",92037
"ASAYENA, INC",HERBERT GOLDENBERG,,8727 CLIFFRIDGE AVE,,LA JOLLA,CA,92037-2115,,goldenberg@asayena.com,96GX7,50,073,WV37NKHCH4T3,,,1231,,USA,DE,08/08/2024,Branch,7320,858-623-9920,,,2021,CP,,,813990,,,"8727 CLIFFRIDGE AVE, , LA JOLLA, CA 92037-2115",92037
WEBXD LLC,STEPHANIE SOEHN,,4225 EXECUTIVE SQ,SUITE 600,LA JOLLA,CA,92037-9122,"WebXd is a digital marketing firm that specializes in website design, development, and maintenance. We are experts in content management systems, especially Wordpress. We also offer a host of creative design services, including: graphic design, presentation design, and print design.",steph@webxd.net,98XE1,50,073,E7HHF2SKQU18,https://webxd.net,,1231,,USA,CA,05/08/2024,Branch,7320,619-762-9361,,https://webxd.net,2021,LL,Service,"Self-Certified Small Disadvantaged Business, Woman Owned","518210, 541430, 541511, 541512, 541513, 541519, 541519, 541613",,,"4225 EXECUTIVE SQ, SUITE 600, LA JOLLA, CA 92037-9122",92037
LA JOLLA LABS INCORPORATED,KENDRA KEATING,,6571 AVENIDA WILFREDO,,LA JOLLA,CA,92037-6256,,kendra@lajollalabs.com,9WB49,50,073,FM5UT6Y7JRR8,,,1231,,USA,DE,05/10/2024,Branch,7320,619-507-7495,,https://lajollalabs.com,2020,CP,,,"541715, 541715, 541715, 541715",,,"6571 AVENIDA WILFREDO, , LA JOLLA, CA 92037-6256",92037
